segment_name,time_second,bitrate_kbps
ai_seg_1_1080p.mp4,0,2238.81
ai_seg_1_1080p.mp4,1,2160.86
ai_seg_1_1080p.mp4,2,2468.56
ai_seg_1_1080p.mp4,3,2349.95
ai_seg_1_1080p.mp4,4,1993.09
ai_seg_1_1080p.mp4,5,1576.08
ai_seg_1_1080p.mp4,6,1500.66
ai_seg_1_1080p.mp4,7,2222.68
ai_seg_1_1080p.mp4,8,2351.87
ai_seg_1_1080p.mp4,9,2361.04
ai_seg_1_360p.mp4,0,363.26
ai_seg_1_360p.mp4,1,351.08
ai_seg_1_360p.mp4,2,473.22
ai_seg_1_360p.mp4,3,423.77
ai_seg_1_360p.mp4,4,370.2
ai_seg_1_360p.mp4,5,233.44
ai_seg_1_360p.mp4,6,194.96
ai_seg_1_360p.mp4,7,349.01
ai_seg_1_360p.mp4,8,401.94
ai_seg_1_360p.mp4,9,360.18
ai_seg_1_480p.mp4,0,580.5
ai_seg_1_480p.mp4,1,550.9
ai_seg_1_480p.mp4,2,711.52
ai_seg_1_480p.mp4,3,641.33
ai_seg_1_480p.mp4,4,554.7
ai_seg_1_480p.mp4,5,391.06
ai_seg_1_480p.mp4,6,315.26
ai_seg_1_480p.mp4,7,548.21
ai_seg_1_480p.mp4,8,628.66
ai_seg_1_480p.mp4,9,580.53
ai_seg_1_720p.mp4,0,1161.02
ai_seg_1_720p.mp4,1,1086.5
ai_seg_1_720p.mp4,2,1328.74
ai_seg_1_720p.mp4,3,1240.71
ai_seg_1_720p.mp4,4,1119.2
ai_seg_1_720p.mp4,5,795.52
ai_seg_1_720p.mp4,6,667.43
ai_seg_1_720p.mp4,7,1123.59
ai_seg_1_720p.mp4,8,1236.73
ai_seg_1_720p.mp4,9,1191.07
ai_seg_11_1080p.mp4,0,2587.38
ai_seg_11_1080p.mp4,1,2372.25
ai_seg_11_1080p.mp4,2,2279.9
ai_seg_11_1080p.mp4,3,2214.75
ai_seg_11_1080p.mp4,4,1965.68
ai_seg_11_1080p.mp4,5,2085.32
ai_seg_11_1080p.mp4,6,1679.27
ai_seg_11_1080p.mp4,7,1464.38
ai_seg_11_1080p.mp4,8,1445.3
ai_seg_11_1080p.mp4,9,1681.7
ai_seg_11_360p.mp4,0,569.66
ai_seg_11_360p.mp4,1,462.98
ai_seg_11_360p.mp4,2,613.5
ai_seg_11_360p.mp4,3,601.79
ai_seg_11_360p.mp4,4,365.47
ai_seg_11_360p.mp4,5,445.71
ai_seg_11_360p.mp4,6,303.85
ai_seg_11_360p.mp4,7,250.16
ai_seg_11_360p.mp4,8,267.45
ai_seg_11_360p.mp4,9,352.41
ai_seg_11_480p.mp4,0,853.78
ai_seg_11_480p.mp4,1,691.78
ai_seg_11_480p.mp4,2,907.0
ai_seg_11_480p.mp4,3,930.35
ai_seg_11_480p.mp4,4,558.58
ai_seg_11_480p.mp4,5,651.02
ai_seg_11_480p.mp4,6,466.46
ai_seg_11_480p.mp4,7,382.28
ai_seg_11_480p.mp4,8,422.07
ai_seg_11_480p.mp4,9,545.19
ai_seg_11_720p.mp4,0,1489.31
ai_seg_11_720p.mp4,1,1318.3
ai_seg_11_720p.mp4,2,1657.41
ai_seg_11_720p.mp4,3,1637.57
ai_seg_11_720p.mp4,4,1144.43
ai_seg_11_720p.mp4,5,1361.68
ai_seg_11_720p.mp4,6,940.16
ai_seg_11_720p.mp4,7,798.62
ai_seg_11_720p.mp4,8,802.02
ai_seg_11_720p.mp4,9,1040.03
ai_seg_12_1080p.mp4,0,2650.57
ai_seg_12_1080p.mp4,1,2710.83
ai_seg_12_1080p.mp4,2,1772.82
ai_seg_12_1080p.mp4,3,2245.45
ai_seg_12_1080p.mp4,4,2399.95
ai_seg_12_1080p.mp4,5,1191.98
ai_seg_12_1080p.mp4,6,983.61
ai_seg_12_1080p.mp4,7,782.68
ai_seg_12_1080p.mp4,8,850.98
